id;keyword_en;required_context_en;keyword_de;required_context_de;keyword_fr;required_context_fr;keyword_it;required_context_it
c1;ableism;NA;Fähigkeitsbewusstsein;NA;ableisme;NA;ableismo;NA
c2;abortion;NA;Abtreibung;NA;avortement;NA;aborto;NA
c3;academic freedom;NA;akademische Freiheit;NA;liberté académique;NA;libertà accademica;NA
c4;access to information;NA;Zugang zu Informationen;NA;accès à l'information;NA;accesso alle informazioni;NA
c5;accountable institution;NA;rechenschaftspflichtige Institution;NA;institution responsable;NA;istituzione responsabile;NA
c6;accountable organisation;NA;rechenschaftspflichtige Organisation;NA;organisation responsable;NA;organizzazione responsabile;NA
c7;action alert;NA;Aktionsalarm;NA;alerte action;NA;allarme azione;NA
c8;administrative corruption;NA;administrative Korruption;NA;corruption administrative;NA;corruzione amministrativa;NA
c9;adultism;NA;Adultismus;NA;adultisme;NA;adultismo;NA
c10;affirmative action;NA;positive Handlung;NA;action positive;NA;azione affermativa;NA
c11;afrophobia;NA;Afrophobie;NA;afrophobie;NA;afrofobia;NA
c12;ageism;NA;Altersdiskriminierung;NA;âgisme;NA;ageismo;NA
c13;algorithmic bias;NA;algorithmische Verzerrung;NA;partialité algorithmique;NA;pregiudizio algoritmico;NA
c14;allophilia;NA;Allophilie;NA;allophilie;NA;allofilia;NA
c15;anti-homelessness legislation;NA;Gesetzgebung zur Bekämpfung der Obdachlosigkeit;NA;législation contre le sans-abrisme;NA;legislazione contro i senzatetto;NA
c16;anticipatory bail;NA;vorzeitige Kaution;NA;caution anticipée;NA;cauzione anticipata;NA
c17;arbitrary detention;NA;Willkürliche Inhaftierung;NA;détention arbitraire;NA;detenzione arbitraria;NA
c18;arms flows;NA;Arme fließt;NA;flux d'armes;NA;flussi di armi;NA
c19;artistic freedom;NA;künstlerische Freiheit;NA;liberté artistique;NA;libertà artistica;NA
c20;assisted suicide;NA;Sterbehilfe;NA;suicide assisté;NA;suicidio assistito;NA
c21;asylum seeker;NA;Asylbewerber;NA;demandeur d'asile;NA;richiedente asilo;NA
c22;bankocracy;NA;Bankokratie;NA;bankocratie;NA;bancocrazia;NA
c23;birth registration;NA;Geburtsregistrierung;NA;enregistrement des naissances;NA;registrazione delle nascite;NA
c24;black suffrage;NA;schwarzes Wahlrecht;NA;suffrage des Noirs;NA;suffragio nero;NA
c25;book burning;NA;Buch brennen;NA;brûlage de livres;NA;rogo di libri;NA
c26;bribery;NA;Bestechung;NA;corruption;NA;corruzione;NA
c27;bribes;NA;Bestechungsgelder;NA;pots-de-vin;NA;tangenti;NA
c28;bullying;NA;Mobbing;NA;intimidation;NA;bullismo;NA
c29;bureaucratic corruption;NA;bürokratische Korruption;NA;corruption bureaucratique;NA;corruzione burocratica;NA
c30;caviar diplomacy;NA;Kaviardiplomatie;NA;diplomatie du caviar;NA;diplomazia del caviale;NA
c31;charter;NA;Charta;NA;charte;NA;carta;NA
c32;child labour;NA;Kinderarbeit;NA;travail des enfants;NA;lavoro minorile;NA
c33;child marriage;NA;Kinderhochzeit;NA;mariage d'enfants;NA;matrimonio infantile;NA
c34;child migration;NA;Kindermigration;NA;migration des enfants;NA;migrazione infantile;NA
c35;child pirate;NA;Kinderpirat;NA;enfant pirate;NA;bambino pirata;NA
c36;child protection;NA;Kinderschutz;NA;protection de l'enfance;NA;protezione del bambino;NA
c37;child welfare;NA;Kinderfürsorge;NA;protection de l'enfance;NA;benessere del bambino;NA
c38;children abuse;NA;Kindesmissbrauch;NA;abus d'enfants;NA;abuso di bambini;NA
c39;children exploitation;NA;Ausbeutung von Kindern;NA;exploitation des enfants;NA;sfruttamento dei bambini;NA
c40;children explotaiton;NA;Kinder explotaiton;NA;Explotaiton d'enfants;NA;sfruttamento dei bambini;NA
c41;children's rights;NA;Kinderrechte;NA;droits de l'enfant;NA;diritti dei bambini;NA
c42;civic space;NA;bürgerlicher Raum;NA;espace civique;NA;spazio civico;NA
c43;civil confinement;NA;Zivilhaft;NA;confinement civil;NA;reclusione civile;NA
c44;civil liberties;NA;bürgerliche Freiheiten;NA;libertés civiles;NA;libertà civili;NA
c45;civil mobilisation;NA;zivile Mobilisierung;NA;mobilisation civile;NA;mobilitazione civile;NA
c46;clientelism;NA;Klientelismus;NA;clientélisme;NA;clientelismo;NA
c47;co-management;NA;Co-Management;NA;cogestion;NA;cogestione;NA
c48;cognitive liberty;NA;kognitive Freiheit;NA;liberté cognitive;NA;libertà cognitiva;NA
c49;collaborative governance;NA;kollaborative Governance;NA;gouvernance collaborative;NA;governance collaborativa;NA
