id;keyword_en;required_context_en;keyword_de;required_context_de;keyword_fr;required_context_fr;keyword_it;required_context_it
c1;abortion;NA;Abtreibung;NA;avortement;NA;aborto;NA
c2;aboulia;NA;Abtreibung;NA;aboulia;NA;aboulia;NA
c3;access to health-care services;NA;Zugang zu Gesundheitsdiensten;NA;accès aux services de santé;NA;accesso ai servizi sanitari;NA
c4;acetaldehyde;NA;Acetaldehyd;NA;acétaldéhyde;NA;acetaldeide;NA
c5;acetonitrile;NA;Acetonitril;NA;acétonitrile;NA;acetonitrile;NA
c6;acetophenone;NA;Acetophenon;NA;acétophénone;NA;acetofenone;NA
c7;acrolein;NA;Acrolein;NA;acroléine;NA;acroleina;NA
c8;acrylamide;NA;Acrylamid;NA;acrylamide;NA;acrilammide;NA
c9;acrylic acid;NA;Acrylsäure;NA;acide acrylique;NA;acido acrilico;NA
c10;acrylonitrile;NA;Acrylnitril;NA;acrylonitrile;NA;acrilonitrile;NA
c11;acute disseminated encephalomyelitis;NA;Akute disseminierte Enzephalomyelitis;NA;encéphalomyélite aiguë disséminée;NA;encefalomielite acuta disseminata;NA
c12;acute hepatitis;NA;akute Hepatitis;NA;hépatite aiguë;NA;epatite acuta;NA
c13;addiction treatment;NA;Suchtbehandlung;NA;traitement de la toxicomanie;NA;trattamento di dipendenza;NA
c14;addictions;NA;Süchte;NA;addictions;NA;dipendenze;NA
c15;addictive behaviour;NA;süchtiges Verhalten;NA;comportement addictif;NA;comportamento di dipendenza;NA
c16;adegramotide;NA;Adegramotid;NA;adegramotide;NA;adegramotide;NA
c17;adolescent birth;NA;adoleszente Geburt;NA;naissance adolescente;NA;nascita adolescente;NA
c18;adopted child syndrome;NA;Adoptivkind-Syndrom;NA;syndrome de l'enfant adopté;NA;sindrome del bambino adottato;NA
c19;adoption;NA;Adoption;NA;adoption;NA;adozione;NA
c20;aedes luteocephalus;NA;Aedes Luteocephalus;NA;aedes luteocephalus;NA;aedes luteocephalus;NA
c21;aerotoxic syndrome;NA;Aerotoxisches Syndrom;NA;syndrome aérotoxique;NA;sindrome aerotossica;NA
c22;agoraphobia;NA;Agoraphobie;NA;agoraphobie;NA;agorafobia;NA
c23;ailanthone;NA;Ailanthon;NA;ailanthone;NA;ailantone;NA
c24;air pollutant concentration;NA;Luftschadstoffkonzentration;NA;concentration de polluants atmosphériques;NA;concentrazione di inquinanti nell'aria;NA
c25;air pollution;NA;Luftverschmutzung;NA;pollution de l'air;NA;inquinamento dell'aria;NA
c26;air quality;NA;Luftqualität;NA;qualité de l'air;NA;qualità dell'aria;NA
c27;air quality guideline;NA;Luftqualitätsrichtwert;NA;directive sur la qualité de l'air;NA;linea guida della qualità dell'aria;NA
c28;air quality index;NA;Luftqualitätsindex;NA;indice de qualité de l'air;NA;indice di qualità dell'aria;NA
c29;air quality law;NA;Luftqualitätsgesetz;NA;loi sur la qualité de l'air;NA;legge sulla qualità dell'aria;NA
c30;alcohol abuse;NA;Alkoholmissbrauch;NA;abus d'alcool;NA;abuso di alcol;NA
c31;alcohol addiction;NA;Alkoholabhängigkeit;NA;alcoolisme;NA;dipendenza da alcol;NA
c32;alcohol and cortisol;NA;Alkohol und Cortisol;NA;alcool et cortisol;NA;alcol e cortisolo;NA
c33;alcohol and pregnancy;NA;Alkohol und Schwangerschaft;NA;alcool et grossesse;NA;alcol e gravidanza;NA
c34;alcohol consumption;NA;Alkoholkonsum;NA;consommation d'alcool;NA;consumo di alcol;NA
c35;alcohol dependence;NA;Alkoholabhängigkeit;NA;dépendance à l'alcool;NA;dipendenza da alcol;NA
c36;alcohol detoxification;NA;Alkoholentgiftung;NA;désintoxication de l'alcool;NA;disintossicazione dall'alcol;NA
c37;alcohol drinking;NA;Alkoholkonsum;NA;consommation d'alcool;NA;consumo di alcol;NA
c38;alcohol intake;NA;Alkoholkonsum;NA;consommation d'alcool;NA;assunzione di alcol;NA
c39;alcohol intoxication;NA;Alkoholintoxikation;NA;intoxication alcoolique;NA;intossicazione da alcol;NA
c40;alcohol misuse;NA;Alkoholmissbrauch;NA;abus d'alcool;NA;abuso di alcol;NA
c41;alcohol-related brain damage;NA;Alkoholbedingte Hirnschäden;NA;dommages cérébraux liés à l'alcool;NA;danni cerebrali legati all'alcol;NA
c42;alcohol-related harm;NA;Alkoholbedingte Schäden;NA;dommages liés à l'alcool;NA;danni causati dall'alcol;NA
c43;alcohol-related problems;NA;Alkoholbedingte Probleme;NA;problèmes liés à l'alcool;NA;problemi legati all'alcol;NA
c44;alcoholic cardiomyopathy;NA;Alkoholische Kardiomyopathie;NA;cardiomyopathie alcoolique;NA;cardiomiopatia alcolica;NA
c45;alcoholic hallucinosis;NA;Alkoholische Halluzinose;NA;hallucinose alcoolique;NA;allucinosi alcolica;NA
