id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;climate action;;;Klimamaßnahmen;;;action climatique;;;azione per il clima;;
c2;climate adaptation;;;Klimaanpassung;;;adaptation climatique;;;adattamento al clima;;
c3;climate change;;;Klimawandel;;;changement climatique;;;cambiamento climatico;;
c4;climate capitalism;;;Klimakapitalismus;;;capitalisme climatique;;;capitalismo climatico;;
c5;ipcc;;;ipcc;;;ipcc;;;ipcc;;
c6;climate effect;;;klimawirkung;;;effet climatique;;;effetto clima;;
c7;climate equity;;;Klimagerechtigkeit;;;équité climatique;;;equità climatica;;
c8;climate feedback;;;klima-rückkopplung;;;rétroaction climatique;;;feedback climatico;;
c9;climate finance;;;klima finanzierung;;;financement du climat;;;finanza climatica;;
c10;climate change financing;;;Finanzierung des Klimawandels;;;financement du changement climatique;;;finanziamento del cambiamento climatico;;
c11;climate forcing;;;Klimaforcierung;;;forçage climatique;;;forzatura del clima;;
c12;climate governance;;;Klimagovernance;;;gouvernance du climat;;;governance del clima;;
c13;climate impact;;;Klimaauswirkungen;;;impact climatique;;;impatto climatico;;
c14;climate investment;;;Klima-Investitionen;;;investissement climatique;;;investimenti sul clima;;
c15;climate justice;;;Klimagerechtigkeit;;;justice climatique;;;giustizia climatica;;
c16;climate mitigation;;;Klimaminderung;;;atténuation du climat;;;mitigazione del clima;;
c17;climate model;;;Klimamodell;;;modèle climatique;;;modello climatico;;
c18;climate modeling;;;Klimamodellierung;;;modélisation climatique;;;modellazione del clima;;
c19;climate policy;;;Klimapolitik;;;politique climatique;;;politica del clima;;
c20;climate risk;;;Klimarisiko;;;risque climatique;;;rischio climatico;;
c21;climate service;;;Klimaservice;;;service climatique;;;servizio climatico;;
c22;climate prediction;;;Klimavorhersage;;;prévision climatique;;;previsione climatica;;
c23;climate signal;;;Klimasignal;;;signal climatique;;;segnale climatico;;
c24;climate tipping point;;;Klima-Kipppunkt;;;point de basculement climatique;;;punto di svolta climatico;;
c25;climate variation;;;Klimaschwankungen;;;variation climatique;;;variazione climatica;;
c26;Eco climatology;;;ÖkoKlimatologie;;;écoclimatologie;;;ecoclimatologia;;
c27;Green Climate Fund;;;Grüner Klimafonds;;;Fonds vert pour le climat;;;Fondo verde per il clima;;
c28;regional climate;;;regionales Klima;;;climat régional;;;clima regionale;;
c29;urban climate;;;Stadtklima;;;climat urbain;;;clima urbano;;
c30;climate;adaptive management;;Klima;Anpassungsfähiges Management;;climat;gestion adaptative;;clima;gestione adattiva;
c31;climate;awareness;;Klima;Bewusstsein;;climat;sensibilisation;;clima;consapevolezza;
c32;climate;Bio economy;;Klima;Bioökonomie;;climat;bioéconomie;;clima;bioeconomia;
c33;climate;carbon;;Klima;Kohlenstoff;;climat;carbone;;clima;carbonio;
c34;climate;decision-making;;Klima;Entscheidungsfindung;;climat;prise de décision;;clima;processo decisionale;
c35;climate;disaster risk reduction;;Klima;Reduzierung des Katastrophenrisikos;;climat;réduction des risques de catastrophes;;clima;riduzione del rischio di catastrofi;
c36;climate;environmental education;;Klima;Umweltbildung;;climat;éducation à l'environnement;;clima;educazione ambientale;
