id;keyword_en;required_context_en;forbidden_context_ex;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;water cycle;;;Wasserkreislauf;;;Wasserkreislauf;;;ciclo dell'acqua;;
c2;biogeochemical cycle;;;biogeochemischer Kreislauf;;;biogeochemischer Kreislauf;;;ciclo biogeochimico;;
c3;oceanic circulation model;;;Ozeanisches Zirkulationsmodell;;;Ozeanisches Zirkulationsmodell;;;modello di circolazione oceanica;;
c4;oceanic circulation modeling;;;Modell der ozeanischen Zirkulationing;;;Modell der ozeanischen Zirkulationing;;;modello di circolazione oceanicaing;;
c5;ice-ocean;;;Eis-Ozean;;;Eis-Ozean;;;ghiaccio-oceano;;
c6;eutrophicat;;;Eutrophierung;;;Eutrophierung;;;eutrofizzato;;
c7;marine;;;Meer;;;Meer;;;marino;;
c8;coral bleach;;;Korallenbleiche;;;Korallenbleiche;;;sbiancamento dei coralli;;
c9;coastal management;;;Küstenmanagement;;;Küstenmanagement;;;gestione costiera;;
c10;coastal habitat;;;Küstenlebensraum;;;Küstenlebensraum;;;habitat costiero;;
c11;marine debris;;;Meeresmüll;;;Meeresmüll;;;detriti marini;;
c12;ocean acidification;;;Ozeanübersäuerung;;;Ozeanübersäuerung;;;acidificazione degli oceani;;
c13;acidification;seawater;;Versauerung;Meerwasser;;Versauerung;Meerwasser;;acidificazione;acqua di mare;
c14;fishery;;;Fischerei;;;Fischerei;;;pesca;;
c15;fisheries;;;Fischerei;;;Fischerei;;;pesca;;
c16;overfishing;;;Überfischung;;;Überfischung;;;sovrasfruttamento;;
c17;sustainable yield;;;Nachhaltiger Ertrag;;;Nachhaltiger Ertrag;;;rendimento sostenibile;;
c18;marine protected area;;;Meeresschutzgebiet;;;Meeresschutzgebiet;;;area marina protetta;;
c19;marine conservation;;;Meeresschutz;;;Meeresschutz;;;conservazione marina;;
c20;ecotourism;;;Ökotourismus;;;Ökotourismus;;;ecoturismo;;
c21;communitybased conservation;;;gemeindebasierter Naturschutz;;;gemeindebasierter Naturschutz;;;conservazione basata sulla comunità;;
c22;marine land slide;;;Landverschiebung im Meer;;;Landverschiebung im Meer;;;scivolo terrestre marino;;
c23;marine pollution;;;Meeresverschmutzung;;;Meeresverschmutzung;;;inquinamento marino;;
c24;nutrient runoff;;;Nährstoffabfluss;;;Nährstoffabfluss;;;deflusso dei nutrienti;;
c25;coastal ecotourism;;;Ökotourismus an der Küste;;;Ökotourismus an der Küste;;;ecoturismo costiero;;
c26;destructive fishing;;;Zerstörerische Fischerei;;;Zerstörerische Fischerei;;;pesca distruttiva;;
c27;local fisheries;;;Lokale Fischerei;;;Lokale Fischerei;;;pesca locale;;
c28;artisanal fishers;;;handwerkliche Fischer;;;handwerkliche Fischer;;;pescatori artigianali;;
c29;fisheries rights;;;Fischereirechte;;;Fischereirechte;;;diritti di pesca;;
c30;species richness;;;Artenreichtum;;;Artenreichtum;;;ricchezza delle specie;;
c31;traditional ecological knowledge;;;traditionelles ökologisches Wissen;;;traditionelles ökologisches Wissen;;;conoscenze ecologiche tradizionali;;
c32;small Island development states;;;kleine Inselentwicklungsstaaten;;;kleine Inselentwicklungsstaaten;;;piccoli Stati insulari in via di sviluppo;;
c33;marine quota;;;Meeresquote;;;Meeresquote;;;quota marina;;
c34;marine economy;;;Meereswirtschaft;;;Meereswirtschaft;;;economia marina;;
c35;marine policy;;;Meerespolitik;;;Meerespolitik;;;politica marina;;
c36;paleoceanography;;;Paläo-Ozeanografie;;;Paläo-Ozeanografie;;;paleoceanografia;;
c37;radiocarbon;;;Radiokohlenstoff;;;Radiokohlenstoff;;;radiocarbonio;;
c38;genetics;;;Genetik;;;Genetik;;;genetica;;
c39;medicine;;;Medizin;;;Medizin;;;medicina;;
c40;drug;;;Arzneimittel;;;Arzneimittel;;;farmaco;;
c41;engineering;;;Technik;;;Technik;;;ingegneria;;
c42;aerosol;;;Aerosol;;;Aerosol;;;aerosol;;
