id;keyword_en;required_context_en;forbidden_context_ex;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;vulnerable;housh, group;mental illness;;;;;;;;;
c2;financial;aid, poverty, poor, north-south divide, development, empowerment;;;;;;;;;;
c3;extreme poverty;;;;;;;;;;;
c4;poverty;alleviation, eradication, reduction;;;;;;;;;;
c5;international poverty line;;;;;;;;;;;
c6;distributional effect;;;;;;;;;;;
c7;child labor;;;;;;;;;;;
c8;development aid;;;;;;;;;;;
c9;social protection;access, system;;;;;;;;;;
c10;micro?financ;;;;;;;;;;;
c11;resilience of the poor;;;;;;;;;;;
c12;safety net;poor;;;;;;;;;;
c13;economic resource;accesss;;;;;;;;;;
c14;food bank;;;;;;;;;;;
