id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;city;human settlement;;stadt;menschliche Siedlung;;ville;établissement humain;;città;insediamento umano;
c2;human settlement;urban;;menschliche Siedlung;städtisch;;établissement humain;urbain;;insediamento umano;urbano;
c3;human settlement;metropoli;;menschliche Siedlung;Metropole;;établissement humain;métropoles;;insediamento umano;metropoli;
c4;human settlement;town;;menschliche Siedlung;Stdt;;établissement humain;ville;;insediamento umano;città;
c5;human settlement;municipal;;menschliche Siedlung;Gemeinde;;établissement humain;municipale;;insediamento umano;comunale;
c6;gentrification;;;Gentrifizierung;;;gentrification;;;gentrificazione;;
c7;congestion;;;Verkehrsstau;;;congestion;;;congestione;;
c8;transportation;;;Verkehr;;;transport;;;trasporto;;
c9;public transport;;;öffentlicher Verkehr;;;transport public;;;trasporto pubblico;;
c10;housing;urban;;Wohnen;städtisch;;logement;urbain;;abitazioni;urbano;
c11;housing;metropoli;;Wohnen;Metropole;;logement;métropoles;;abitazioni;metropoli;
c12;housing;town;;Wohnen;Stdt;;logement;ville;;abitazione;città;
c13;housing;municipal;;Wohnen;Gemeinde;;logement;municipal;;abitazioni;comunale;
c14;slum;;;Slum;;;bidonville;;;slum;;
c15;sendai framework;;;sendai-rahmenprogramm;;;cadre de sendai;;;quadro di riferimento sendai;;
c16;Disaster Risk Reduction;;;Reduzierung des Katastrophenrisikos;;;Réduction des risques de catastrophes;;;Riduzione del rischio di catastrofi;;
c17;DRR;;;DRR;;;RRC;;;DRR;;
c18;smart city;;;intelligente Stdt;;;ville intelligente;;;città intelligente;;
c19;resilient building;;;Widerstandsfähiges Bauen;;;bâtiment résilient;;;edificio resiliente;;
c20;sustainable building;;;Nachhaltiges Bauen;;;bâtiment durable;;;edificio sostenibile;;
c21;building design;;;Gebäudeplanung;;;conception de bâtiments;;;progettazione di edifici;;
c22;urbanization;;;Stadtentwicklung;;;urbani?ation;;;urbanizzazione;;
c23;zero energy building;;;NullEnergie-Gebäude;;;bâtiment zéroénergie;;;edificio a energia zero;;
c24;basic service;;;Basisdienstleistung;;;servicede base;;;servizio di base;;
c25;governance;;;Verwaltung;;;gouvernance;;;governance;;
c26;citizen participation;;;Bürgerbeteiligung;;;participation des citoyens;;;partecipazione dei cittadini;;
c27;collaborative planning;;;kollaborative Planung;;;planification collaborative;;;pianificazione collaborativa;;
c28;participatory planning;;;partizipative Planung;;;planification participative;;;pianificazione partecipata;;
c29;inclusiveness;;;Inklusivität;;;inclusivité;;;inclusività;;
c30;cultural heritage;;;kulturelles Erbe;;;patrimoine culturel;;;patrimonio culturale;;
c31;natural heritage;;;Naturerbe;;;patrimoine naturel;;;patrimonio naturale;;
c32;UNESCO;;;UNESCO;;;UNESCO;;;UNESCO;;
c33;disaster;;;Katastrophe;;;catastrophe;;;disastro;;
c34;ecological footprint;;;ökologischer Fußabdruck;;;empreinte écologique;;;impronta ecologica;;
c35;environmental footprint;;;ökologischer Fußabdruck;;;empreinte écologique;;;impronta ambientale;;
c36;waste;;;Abfall;;;déchets;;;rifiuti;;
c37;pollution;;;Verschmutzung;;;pollution;;;inquinamento;;
c38;pollutant;;;Schadstoff;;;polluant;;;inquinante;;
c39;waste water;;;Abwässer;;;eaux usées;;;acqua di scarico;;
c40;recycling;;;Recycling;;;recyclage;;;riciclo;;
c41;circular economy;;;Kreislaufwirtschaft;;;économie circulaire;;;economia circolare;;
c42;air quality;;;Luftqualität;;;qualité de l'air;;;qualità dell'aria;;
c43;green space;;;Grünflächen;;;espaces verts;;;spazio verde;;
c44;nature inclusive;;;Inklusive Natur;;;nature inclusive;;;natura inclusiva;;
c45;nature inclusive building;;;Naturverträgliches Bauen;;;bâtiments respectueux de la nature;;;edificio inclusivo della natura;;
