id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;energy efficiency;;;Energie-Effizienz;;;l'efficacité énergétique;;;efficienza energetica;;
c2;energy consumption;;;Energieverbrauch;;;consommation d'énergie;;;consumo energetico;;
c3;energy transition;;;Energiewende;;;transition énergétique;;;transizione energetica;;
c4;clean energy technology;;;Saubere Energietechnologie;;;technologie de l'énergie propre;;;tecnologia per l'energia pulita;;
c5;energy equity;;;Energiegerechtigkeit;;;équité énergétique;;;equità energetica;;
c6;energy justice;;;Energiegerechtigkeit;;;justice énergétique;;;giustizia energetica;;
c7;energy poverty;;;Energiearmut;;;pauvreté énergétique;;;povertà energetica;;
c8;energy policy;;;Energiepolitik;;;politique énergétique;;;politica energetica;;
c9;renewable;;;Erneuerbare;;;renouvelable;;;rinnovabile;;
c10;2000 Watt society;;;2000-Watt-Gesellschaft;;;société à 2000 watts;;;società a 2000 Watt;;
c11;smart micro-grid;;;intelligentes Mikronetz;;;micro-réseau intelligent;;;micro-rete intelligente;;
c12;smart grid;;;intelligentes Netz;;;réseau intelligent;;;rete intelligente;;
c13;smart microgrid;;;intelligentes Mikronetz;;;microréseau intelligent;;;microgrid intelligenti;;
c14;smart microgrids;;;intelligente Mikronetze;;;micro-réseaux intelligents;;;microgriglie intelligenti;;
c15;smart meter;;;intelligenter Zähler;;;compteur intelligent;;;contatore intelligente;;
c16;affordable electricity;;;Bezahlbarer Strom;;;électricité abordable;;;elettricità a prezzi accessibili;;
c17;electricity consumption;;;Stromverbrauch;;;consommation d'électricité;;;consumo di elettricità;;
c18;reliable electricity;;;zuverlässige Elektrizität;;;électricité fiable;;;elettricità affidabile;;
c19;clean fuel;;;sauberer Brennstoff;;;combustible propre;;;carburante pulito;;
c20;clean cooking fuel;;;sauberer Brennstoff zum Kochen;;;combustible de cuisson propre;;;combustibile pulito per cucinare;;
c21;fuel poverty;;;Brennstoffarmut;;;pauvreté énergétique;;;povertà di carburante;;
c22;energy turnaround;;;Energiewende;;;tournant énergétique;;;transizione energetica;;
c23;lifecycle assessment;;;Lebenszyklusanalyse;;;analyse du cycle de vie;;;valutazione del ciclo di vita;;
c24;photochemistry;renewable energy;;Fotochemie;Erneuerbare Energie;;photochimie;énergies renouvelables;;fotochimica;energia rinnovabile;
c25;photovoltaic;;;Fotovoltaik;;;photovoltaïque;;;fotovoltaico;;
c26;photocatalytic;water splitting;;Photokatalytik;Wasserspaltung;;photocatalytique;fractionnement de l'eau;;fotocatalitico;scissione dell'acqua;
c27;hydrogen production;;;Wasserstofferzeugung;;;production d'hydrogène;;;produzione di idrogeno;;
c28;water splitting;;;Wasserspaltung;;;séparation de l'eau;;;scissione dell'acqua;;
c29;lithiumion batter;;;LithiumIonen-Batterie;;;batterie lithiumion;;;batteria agli ioni di litio;;
c30;heat network;;;Wärmenetz;;;réseau de chaleur;;;rete di calore;;
c31;district heat;;;Fernwärme;;;chauffage urbain;;;teleriscaldamento;;
c32;district heating;;;Fernwärme;;;chauffage urbain;;;teleriscaldamento;;
c33;residential energy consumption;;;Energieverbrauch der Haushalte;;;consommation d'énergie résidentielle;;;consumo energetico residenziale;;
c34;domestic energy consumption;;;Energieverbrauch der Haushalte;;;consommation domestique d'énergie;;;consumo energetico domestico;;
c35;energy security;;;Energiesicherheit;;;sécurité énergétique;;;sicurezza energetica;;
c36;rural electrification;;;ländliche Elektrifizierung;;;électrification rurale;;;elettrificazione rurale;;
c37;energy ladder;;;Energieleiter;;;échelle énergétique;;;scala energetica;;
c38;energy access;;;Energiezugang;;;accès à l'énergie;;;accesso all'energia;;
c39;energy conservation;;;Energieeinsparung;;;conservation de l'énergie;;;conservazione dell'energia;;
c40;low-carbon society;;;kohlenstoffarme Gesellschaft;;;société à faible émission de carbone;;;società a basse emissioni di carbonio;;
c41;hybrid renewable energy system;;;Hybridsystem für erneuerbare Energien;;;système hybride d'énergie renouvelable;;;sistema ibrido di energia rinnovabile;;
c42;fuel switching;;;Brennstoffwechsel;;;changement de combustible;;;cambio di combustibile;;
c43;foreign development aid;renewable energy;;ausländische Entwicklungshilfe;Erneuerbare Energien;;aide étrangère au développement;énergies renouvelables;;aiuto allo sviluppo estero;energia rinnovabile;
c44;energy governance;official development assistance;;Energie-Governance;offizielle Entwicklungshilfe;;gouvernance énergétique;aide publique au développement;;governance energetica;assistenza ufficiale allo sviluppo;
c45;energy governance;electricity;;Energie-Governance;Strom;;gouvernance de l'énergie;électricité;;governance energetica;elettricità;
c46;energy development;developing countries;;Energieentwicklung;Entwicklungsländer;;développement énergétique;pays en développement;;sviluppo energetico;paesi in via di sviluppo;
c47;;wireless sensor network;;;drahtloses Sensornetzwerk;;;réseau de capteurs sans fil;;Rete di sensori senza fili;;
