id;keyword_en;required_context_en;forbidden_context_ex;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;safe;water access;;sicher;Zugang zu Wasser;;sûr;accès à l'eau;;sicuro;accesso all'acqua;
c2;safe;drinking water;;sicher;trinkwasser;;sûr;eau potable;;sicuro;acqua potabile;
c3;clean;drinking water;;sauber;trinkwasser;;propre;eau potable;;pulito;acqua potabile;
c4;clean;water source;;sauber;Wasserquelle;;propre;source d'eau;;pulito;fonte d'acqua;
c5;water;;;Wasser;;;eau;;;acqua;;
c6;water;sanitation  hygiene;;Wasser;Abwasserentsorgung  Hygiene;;eau;assainissement  hygiène;;acqua;servizi igienici  igiene;
c7;water;quality;;Wasser;Qualität;;eau;qualité;;acqua;qualità;
c8;water;resource;;Wasser;Ressource;;eau;ressource;;acqua;risorsa;
c9;water;management;;Wasser;Bewirtschaftung;;eau;gestion;;acqua;gestione;
c10;water;ecosystem;;Wasser;Ökosystem;;eau;écosystème;;acqua;ecosistema;
c11;water availability;;;Wasserverfügbarkeit;;;disponibilité de l'eau;;;disponibilità di acqua;;
c12;water-use efficiency;;;Effizienz der Wassernutzung;;;efficacité de l'utilisation de l'eau;;;efficienza nell'uso dell'acqua;;
c13;water suppl;;;Wasserversorgung;;;approvisionnement en eau;;;approvvigionamento idrico;;
c14;clean water;;;sauberes Wasser;;;eau propre;;;acqua pulita;;
c15;hygienic toilet;;;hygienische Toilette;;;toilettes hygiéniques;;;toilette igienica;;
c16;antifouling membrane;;;Antifouling-Membran;;;membrane antisalissure;;;membrana antivegetativa;;
c17;anti-fouling membrane;;;Antifouling-Membran;;;membrane antisalissure;;;membrana antivegetativa;;
c18;water management;;;Wasserwirtschaft;;;gestion de l'eau;;;gestione dell'acqua;;
c19;aquatic toxicology;;;Wassertoxikologie;;;toxicologie aquatique;;;tossicologia acquatica;;
c20;water toxicology;;;Wassertoxikologie;;;toxicologie de l'eau;;;tossicologia dell'acqua;;
c21;aquatic ecotoxicology;;;Aquatische Ökotoxikologie;;;écotoxicologie aquatique;;;ecotossicologia acquatica;;
c22;water ecotoxicology;;;Gewässerökotoxikologie;;;écotoxicologie de l'eau;;;ecotossicologia dell'acqua;;
c23;freshwater;water quality;;Trinkwasser;Wasserqualität;;eaudouce;qualité de l'eau;;acqua dolce;qualità dell'acqua;
c24;freshwater;pollutant;;Trinkwasser;Schadstoff;;eau douce;polluant;;acqua dolce;inquinante;
c25;freshwater;pollution;;Trinkwasser;Verschmutzung;;eau douce;pollution;;acqua dolce;inquinamento;
c26;freshwater;contamina;;Trinkwasser;Verunreinigung;;eaudouce;contaminé;;acqua dolce;contaminazioni;
c27;freshwater;water security;;Trinkwasser;Wassersicherheit;;eaudouce;sécurité de l'eau;;acqua dolce;sicurezza dell'acqua;
c28;freshwater;water shortage;;Trinkwasser;Wasserknappheit;;eaudouce;pénurie d'eau;;acqua dolce;carenza d'acqua;
c29;wastewater;treatment;;abwasser;Behandlung;;eaux usées;traitement;;acqua di scarico;trattamento;
c30;water conservation;;;Wasserschutz;;;conservation de l'eau;;;conservazione dell'acqua;;
c31;water footprint;;;Wasser-Fußabdruck;;;empreinte de l'eau;;;impronta idrica;;
c32;water infrastructure;;;Wasserinfrastruktur;;;infrastructure de l'eau;;;infrastruttura idrica;;
c33;water pollution;;;Wasserverschmutzung;;;pollution de l'eau;;;inquinamento dell'acqua;;
c34;water purification;;;Wasseraufbereitung;;;épuration de l'eau;;;depurazione dell'acqua;;
c35;water use;;;Wassernutzung;;;utilisation de l'eau;;;uso dell'acqua;;
c36;sanit;;;Sanitär;;;hygiène;;;igiene;;
c37;ecosystem;protection of endocrine disruptor;;Ökosystem;Schutz vor endokrinen Disruptoren;;écosystème;protection des perturbateurs endocriniens;;ecosistema;protezione degli interferenti endocrini;
c38;water management;pollution remediation;;Wasserwirtschaft;Sanierung der Umweltverschmutzung;;gestion de l'eau;dépollution;;gestione dell'acqua;bonifica dell'inquinamento;
c39;water management;pollutant removal;;Wasserbewirtschaftung;Beseitigung von Schadstoffen;;gestion de l'eau;élimination des polluants;;gestione dell'acqua;rimozione degli inquinanti;
c40;groundwater;freshwater;;Grundwasser;Trinkwasser;;eau souterraine;eau douce;;acqua sotterranea;acqua dolce;
c41;freshwater;;;Trinkwasser;;;eau douce;;;acqua dolce;;
c42;water pollution;;;Wasserverschmutzung;;;pollution de l'eau;;;inquinamento dell'acqua;;
c43;water pollutant;;;Wasserverschmutzung;;;polluant de l'eau;;;acqua inquinante;;
c44;waste water;treatment;;abwasser;Behandlung;;eaux usées;traitement;;acque reflue;trattamento;
c45;waste water;wastewater;;Abwässer;Abwasser;;eau usée;eaux usées;;acqua di scarico;acque reflue;
c46;waste water;treatment;;Abwässer;Behandlung;;eau usée;traitement;;acqua di scarico;trattamento;
c47;freshwater availability;;;Verfügbarkeit von Trinkwasser;;;disponibilité de l'eau douce;;;disponibilità di acqua dolce;;
c48;water scarcity;;;Wasserknappheit;;;pénurie d'eau;;;scarsità d'acqua;;
c49;open defecation;;;Offene Defäkation;;;défécation en plein air;;;defecazione aperta;;
c50;blue water;;;blaues Wasser;;;eau bleue;;;acqua blu;;
c51;green water;;;grünes Wasser;;;eau verte;;;acqua verde;;
c52;grey water;;;graues Wasser;;;eau grise;;;acqua grigia;;
c53;black water;;;schwarzes Wasser;;;eau noire;;;acqua nera;;
