id;keyword_en;required_context_en;forbidden_context_ex;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;actual innocence;;;tatsächliche Unschuld;;;innocence réelle;;;innocenza effettiva;;
c2;false confession;;;falsches Geständnis;;;faux aveux;;;falsa confessione;;
c3;armed conflict;;;bewaffneter Konflikt;;;conflit armé;;;conflitto armato;;
c4;armed conflicts;;;bewaffnete Konflikte;;;conflits armés;;;conflitti armati;;
c5;civil conflict;;;Zivilkonflikt;;;conflit civil;;;conflitto civile;;
c6;civil conflicts;;;zivile Konflikte;;;conflits civils;;;conflitti civili;;
c7;war;;;Krieg;;;guerre;;;guerra;;
c8;conflict;warfare;;Konflikt;Kriegsführung;;conflit;guerre;;conflitto;guerra;
c9;conflict;democracy;;Konflikt;Demokratie;;conflit;démocratie;;conflitto;democrazia;
c10;conflict;Geneva Convention;;Konflikt;Genfer Konvention;;conflit;Convention de Genève;;conflitto;Convenzione di Ginevra;
c11;conflict;treaty;;Konflikt;Vertrag;;conflit;traité;;conflitto;trattato;
c12;conflict;peace;;Konflikt;Frieden;;conflit;paix;;conflitto;pace;
c13;peacekeeping;;;Friedenssicherung;;;maintien de la paix;;;mantenimento della pace;;
c14;corruption;institution;;Korruption;Einrichtung;;corruption;institution;;corruzione;istituzione;
c15;corruption;public official;;Korruption;Amtsträger;;corruption;agent public;;corruzione;pubblico ufficiale;
c16;corruption;government;;Korruption;Regierung;;corruption;gouvernement;;corruzione;governo;
c17;corruption;bribery;;Korruption;Bestechung;;corruption;corruption;;corruzione;corruzione;
c18;corruption;conflict;;Korruption;Konflikt;;corruption;conflit;;corruzione;conflitto;
c19;crime;;;Kriminalität;;;crime;;;crimine;;
c20;criminal;;;kriminell;;;criminel;;;criminale;;
c21;democratic deficit;;;Demokratiedefizit;;;déficit démocratique;;;deficit democratico;;
c22;democratiation;;;Demokratiierung;;;démocratiation;;;democratizzazione;;
c23;institutional;;;institutionell;;;institutionnel;;;istituzionale;;
c24;conflict;;;Konflikt;;;conflit;;;conflitto;;
c25;decision-making;;;Entscheidungsfindung;;;prise de décision;;;processo decisionale;;
c26;society;;;Gesellschaft;;;société;;;società;;
c27;politics;;;Politik;;;politique;;;politica;;
c28;financial aid;;;Finanzielle Hilfe;;;aide financière;;;aiuto finanziario;;
c29;ethnic conflict;;;ethnischer Konflikt;;;conflit ethnique;;;conflitto etnico;;
c30;exoneration;;;Entlastung;;;exonération;;;esonero;;
c31;genocid;;;Genozid;;;génocide;;;genocidio;;
c32;homicid;;;Homizid;;;homicide;;;omicidio;;
c33;murder;;;Mord;;;meurtre;;;omicidio;;
c34;human trafficking;;;Menschenschmuggel;;;trafic d'êtres humains;;;traffico di esseri umani;;
c35;criminal justice system;;;Strafrechtssystem;;;système de justice pénale;;;sistema di giustizia penale;;
c36;justice system;;;Justizsystem;;;système judiciaire;;;sistema giudiziario;;
c37;arbitrary justice;;;Willkürliche Justiz;;;justice arbitraire;;;giustizia arbitraria;;
c38;refugee;;;Flüchtling;;;réfugié;;;rifugiato;;
c39;terroris;;;Terroristen;;;terroris;;;terrorismo;;
c40;violence;;;Gewalt;;;violence;;;violenza;;
c41;torture;;;Folter;;;torture;;;tortura;;
c42;effective rule of law;;;effektive Rechtsstaatlichkeit;;;état de droit effectif;;;Stato di diritto effettivo;;
c43;arms flow;;;Waffenfluss;;;circulation des armes;;;flusso di armi;;
c44;transparent institution;;;transparente Institutionen;;;institution transparente;;;istituzioni trasparenti;;
c45;good governance;;;gute Regierungsführung;;;bonne gouvernance;;;buon governo;;
c46;legal identity for all;;;legale Identität für alle;;;identité légale pour tous;;;identità legale per tutti;;
c47;freedom of information;;;Informationsfreiheit;;;liberté d'information;;;libertà di informazione;;
c48;human rights institution;;;Menschenrechtsinstitution;;;institution des droits de l'homme;;;istituzione per i diritti umani;;
c49;human rights activists;;;Menschenrechtsaktivisten;;;militants des droits de l'homme;;;attivisti per i diritti umani;;
c50;fundamental freedom;;;Grundfreiheit;;;liberté liberté fondamentale;;;libertà fondamentali;;
c51;violent conflict;;;Gewaltkonflikt;;;conflit violent;;;conflitto violento;;
c52;violent conflicts;;;gewaltsame Konflikte;;;conflits viol viol viol viol viol;;;conflitti violenti;;
c53;peaceful society;;;friedliche Gesellschaft;;;société pacifique;;;società pacifica;;
c54;effective institution;;;wirksame Institution;;;institution efficace;;;istituzione efficace;;
c55;accountable institution;;;rechenschaftspflichtige Institution;;;institution responsable;;;istituzione responsabile;;
c56;inclusive institution;;;integrative Einrichtung;;;institution inclusive;;;istituzione inclusiva;;
c57;child abuse;;;Kindesmissbrauch;;;maltraitance des enfants;;;abusi sui minori;;
c58;arbitrary detention;;;Willkürliche Inhaftierung;;;détention arbitraire;;;detenzione arbitraria;;
c59;unsentenced detention;;;Inhaftierung ohne Strafe;;;détention non condamnée;;;detenzione senza condanna;;
c60;judicial system;;;Justizsystem;;;système judiciaire;;;sistema giudiziario;;
c61;criminal tribunal;;;Strafgerichtshof;;;tribunal pénal;;;tribunale penale;;
c62;inclusive societ;;;integrative Gesellschaft;;;société inclusive;;;società inclusiva;;
c63;responsive institution;;;reaktionsfähige Institution;;;institution réactive;;;istituzione reattiva;;
c64;fair societ;;;Faire Gesellschaft;;;société équitable;;;società giusta;;
c65;legal remed;;;Rechtsmittel;;;recours juridique;;;rimedio legale;;
c66;independence of judiciary;;;Unabhängigkeit der Justiz;;;indépendance du pouvoir judiciaire;;;indipendenza della magistratura;;
c67;independent judiciary;;;unabhängige Justiz;;;indépendance du pouvoir judiciaire;;;magistratura indipendente;;
c68;separation of powers;;;Gewaltenteilung;;;séparation des pouvoirs;;;separazione dei poteri;;
c69;extremism;;;Extremismus;;;extrémisme;;;estremismo;;
c70;war crime;;;Kriegsverbrechen;;;crime de guerre;;;crimine di guerra;;
c71;peaceful society;;;friedliche Gesellschaft;;;société pacifique;;;società pacifica;;
c72;organized crime;;;Organisierte Kriminalität;;;crime organisé;;;criminalità organizzata;;
c73;illicit transfer;;;illegaler Transfer;;;transfert illicite;;;trasferimento illecito;;
c74;illicit money;;;Schwarzgeld;;;argent illicite;;;denaro illecito;;
c75;arms trafficking;;;Waffenschmuggel;;;trafic d'armes;;;traffico di armi;;
c76;cybercrime;;;Computerkriminalität;;;cybercriminalité;;;crimine informatico;;
c77;insurgence;;;Aufruhr;;;insurrection;;;insurrezione;;
c78;democratic institution;;;demokratische Institution;;;institution démocratique;;;istituzione democratica;;
c79;political instability;;;politische Instabilität;;;instabilité politique;;;instabilità politica;;
c80;political decision-making;responsive;;politische Entscheidungsfindung;reaktionsschnell;;décision politique;réactif;;processo decisionale politico;reattivo;
c81;political decision-making;inclusive;;Politische Entscheidungsfindung;integrativ;;décision politique;inclusif;;processo decisionale politico;inclusivo;
c82;political decision-making;participatory;;Politische Entscheidungsfindung;partizipativ;;décision politique;participatif;;processo decisionale politico;partecipativo;
c83;political decision-making;representative;;Politische Entscheidungsfindung;repräsentativ;;décision politique;représentatif;;processo decisionale politico;rappresentativo;
c84;Aarhus Convention;;;Aarhus-Konvention;;;Convention d'Aarhus;;;Convenzione di Aarhus;;
c85;press freedom;;;Pressefreiheit;;;liberté de la presse;;;libertà di stampa;;
c86;freedom of speech;;;Freiheit der Rede;;;liberté d'expression;;;libertà di parola;;
