c1;abortion clinic;NA;Abtreibungsklinik;NA;clinique d'avortement;NA;clinica dell'aborto;NA
c2;abortion rights;NA;Abtreibungsrechte;NA;droit à l'avortement;NA;diritti di aborto;NA
c3;adoption;NA;Adoption;NA;adoption;NA;adozione;NA
c4;artificial insemination;NA;künstliche Befruchtung;NA;insémination artificielle;NA;inseminazione artificiale;NA
c5;assisted reproductive technology;NA;assistierte Reproduktionstechnologie;NA;technologie de reproduction assistée;NA;tecnologia riproduttiva assistita;NA
c6;beijing platform for action;NA;Pekinger Aktionsplattform;NA;plate-forme d'action de pékin;NA;piattaforma d'azione di pechino;NA
c7;birth control;NA;Geburtenkontrolle;NA;contrôle des naissances;NA;controllo delle nascite;NA
c8;body privilege;NA;Körperprivileg;NA;privilège du corps;NA;privilegio del corpo;NA
c9;breastfeeding and hiv;NA;stillen und hiv;NA;allaitement et vih;NA;allattamento al seno e hiv;NA
c10;bride kidnapping;NA;brautentführung;NA;enlèvement de la mariée;NA;rapimento della sposa;NA
c11;castration;NA;kastration;NA;castration;NA;castrazione;NA
c12;casual sex;NA;Gelegenheitssex;NA;sexe occasionnel;NA;sesso occasionale;NA
c13;chemical castration;NA;chemische kastration;NA;castration chimique;NA;castrazione chimica;NA
c14;child custody;NA;Sorgerecht für Kinder;NA;garde d'enfants;NA;custodia dei bambini;NA
c15;child marriage;NA;Kinderehe;NA;mariage d'enfants;NA;matrimonio infantile;NA
c16;child support;NA;Kindesunterhalt;NA;pension alimentaire pour enfants;NA;mantenimento del bambino;NA
c17;contraceptive implant;NA;Verhütungsimplantat;NA;implant contraceptif;NA;impianto contraccettivo;NA
c18;custody evaluation;NA;Bewertung des Sorgerechts;NA;évaluation de la garde;NA;valutazione della custodia;NA
c19;date rape;NA;Vergewaltigung;NA;viol par une connaissance;NA;data di stupro;NA
c20;defeminization;NA;Entweiblichung;NA;déféminisation;NA;defeminizzazione;NA
c21;dihydrotestosterone;NA;Dihydrotestosteron;NA;dihydrotestostérone;NA;diidrotestosterone;NA
c22;discrimination against girl;NA;Diskriminierung von Mädchen;NA;discrimination contre les filles;NA;discriminazione contro le ragazze;NA
c23;discrimination against women;NA;Diskriminierung von Frauen;NA;discrimination à l'égard des femmes;NA;discriminazione contro le donne;NA
c24;disorders of sex development;NA;Störungen der Geschlechtsentwicklung;NA;troubles du développement sexuel;NA;disturbi dello sviluppo del sesso;NA
c25;divorce settlement;NA;Scheidungsvereinbarung;NA;règlement du divorce;NA;accordo di divorzio;NA
c26;domestic violence;NA;Häusliche Gewalt;NA;violence domestique;NA;violenza domestica;NA
c27;empower girl;NA;Mädchen stärken;NA;discrimination contre les filles;NA;responsabilizzare le ragazze;NA
c28;empower women;NA;Stärkung der Frauen;NA;autonomiser les femmes;NA;empowerment delle donne;NA
c29;empowerment of women;NA;Ermächtigung von Frauen;NA;l'éman éman éman de l'éman de l de la femme;NA;empowerment delle donne;NA
c30;equal pay day;NA;Tag des gleichen Entgelts;NA;journée de l'égalité des salaires;NA;giornata della parità di retribuzione;NA
c31;equal pay for equal work;NA;Gleicher Lohn für gleiche Arbeit;NA;égalité de rémunération pour un travail égal;NA;pari retribuzione per pari lavoro;NA
c32;equal remuneration convention;NA;Übereinkommen über gleiches Entgelt;NA;convention sur l'égalité de rémunération;NA;convenzione sulla parità di retribuzione;NA
c33;family law;NA;Familienrecht;NA;droit de la famille;NA;diritto di famiglia;NA
c34;family planning;NA;Familienplanung;NA;planning familial;NA;pianificazione familiare;NA
c35;family violence;NA;Gewalt in der Familie;NA;violence familiale;NA;violenza familiare;NA
c36;female circumcision;NA;Frauenbeschneidung;NA;circoncision féminine;NA;circoncisione femminile;NA
c37;female education;NA;Frauenbildung;NA;éducation féminine;NA;educazione femminile;NA
c38;female sex tourism;NA;Sextourismus für Frauen;NA;tourisme sexuel féminin;NA;turismo sessuale femminile;NA
c39;fertility testing;NA;Fruchtbarkeitstests;NA;test de fertilité;NA;test di fertilità;NA
c40;forced abortion;NA;Zwangsabtreibung;NA;avortement forcé;NA;aborto forzato;NA
c41;forced adoption;NA;Zwangsadoption;NA;adoption forcée;NA;adozione forzata;NA
c42;forced marriage;NA;Zwangsehe;NA;mariage forcé;NA;matrimonio forzato;NA
c43;forced prostitution;NA;Zwangsprostitution;NA;prostitution forcée;NA;prostituzione forzata;NA
c44;gender bias;NA;Geschlechtervorurteile;NA;préjugés sexistes;NA;pregiudizio di genere;NA
c45;gender binary;NA;Geschlechterdifferenzierung;NA;binaire de genre;NA;binario di genere;NA
c46;gender discrimination;NA;Geschlechterdiskriminierung;NA;discrimination de genre;NA;discriminazione di genere;NA
c47;gender disparities in health;NA;Geschlechtsspezifische Ungleichheiten im Gesundheitswesen;NA;disparités entre les sexes en matière de santé;NA;disparità di genere nella salute;NA
c48;gender diversity;NA;Geschlechtervielfalt;NA;diversité des genres;NA;diversità di genere;NA
c49;gender equality;NA;Gleichstellung der Geschlechter;NA;égalité des sexes;NA;uguaglianza di genere;NA
c50;gender equity;NA;Geschlechtergerechtigkeit;NA;équité de genre;NA;equità di genere;NA
c51;gender inequality;NA;Geschlechterungleichheit;NA;inégalité de genre;NA;disuguaglianza di genere;NA
c52;gender justice;NA;Geschlechtergerechtigkeit;NA;justice de genre;NA;giustizia di genere;NA
c53;gender mainstreaming;NA;Gender Mainstreaming;NA;intégration de la dimension de genre;NA;integrazione della dimensione di genere;NA
c54;gender marking in job titles;NA;Geschlechterkennzeichnung in Berufsbezeichnungen;NA;marquage du genre dans les titres d'emploi;NA;marcatura di genere nei titoli di lavoro;NA
c55;gender neutrality;NA;Geschlechtsneutralität;NA;neutralité de genre;NA;neutralità di genere;NA
c56;gender parity;NA;Geschlechterparität;NA;parité hommes-femmes;NA;parità di genere;NA
c57;gender violence;NA;geschlechtsspezifische Gewalt;NA;violence de genre;NA;violenza di genere;NA
c58;gender-neutral title;NA;geschlechtsneutrale Berufsbezeichnung;NA;titre non sexiste;NA;titolo neutro dal punto di vista del genere;NA
c59;genderless language;NA;geschlechtsneutrale Sprache;NA;langage non sexué;NA;linguaggio senza genere;NA
c60;genital mutilation;NA;Genitalverstümmelung;NA;mutilation génitale;NA;mutilazione genitale;NA
c61;governance and gender;NA;Governance und Geschlecht;NA;gouvernance et genre;NA;governance e genere;NA
c62;gynocriticism;NA;Gynokritik;NA;gynocriticisme;NA;gynocriticism;NA
c63;hague convention on the civil aspects of international child abduction;NA;Haager Übereinkommen über die zivilrechtlichen Aspekte internationaler Kindesentführung;NA;convention de la haye sur les aspects civils de l'enlèvement international d'enfants;NA;convenzione dell'aia sugli aspetti civili della sottrazione internazionale di minori;NA
c64;hague guardianship convention;NA;Haager Vormundschaftsübereinkommen;NA;convention de tutelle de La Haye;NA;convenzione dell'aia sulla tutela;NA
c65;hague protection of minors convention;NA;haager übereinkommen zum schutz von minderjährigen;NA;Convention de la Haye sur la protection des mineurs;NA;convenzione dell'aia sulla protezione dei minori;NA
c66;harmful practise;NA;schädliche Praktiken;NA;pratique néfaste;NA;pratica dannosa;NA
c67;hegemonic masculinity;NA;hegemoniale Männlichkeit;NA;masculinité hégémonique;NA;mascolinità egemonica;NA
c68;infibulation;NA;Infibulation;NA;infibulation;NA;infibulazione;NA
c69;joint custody;NA;gemeinsames Sorgerecht;NA;garde conjointe;NA;custodia congiunta;NA
c70;knobstick wedding;NA;Knüppelhochzeit;NA;mariage à bâton rompu;NA;matrimonio con la manopola;NA
c71;male privilege;NA;Männliches Privileg;NA;privilège masculin;NA;privilegio maschile;NA
c72;maternal health;NA;Gesundheit von Müttern;NA;santé maternelle;NA;salute materna;NA
c73;migrant sex work;NA;Migranten-Sexarbeit;NA;travail sexuel des migrants;NA;lavoro sessuale migrante;NA
c74;misogyny;NA;Frauenfeindlichkeit;NA;misogynie;NA;misoginia;NA
c75;motherhood penalty;NA;Strafe für Mutterschaft;NA;pénalité de maternité;NA;pena di maternità;NA
c76;mothers rights;NA;Mütterrechte;NA;droits des mères;NA;diritti delle madri;NA
c77;objectification;NA;Objektivierung;NA;objectivation;NA;oggettivazione;NA
c78;parenting plan;NA;Erziehungsplan;NA;plan parental;NA;piano genitoriale;NA
c79;partner violence;NA;Partnergewalt;NA;violence conjugale;NA;violenza del partner;NA
c80;precarious work;NA;Prekäre Arbeit;NA;travail précaire;NA;lavoro precario;NA
c81;precarity;NA;Prekarität;NA;précarité;NA;precarietà;NA
c82;pregnancy;NA;Schwangerschaft;NA;grossesse;NA;gravidanza;NA
c83;primary physical custody;NA;primäres physisches Sorgerecht;NA;garde physique primaire;NA;custodia fisica primaria;NA
c84;programme of action of the international conference on population;NA;aktionsprogramm der internationalen konferenz über bevölkerung;NA;programme d'action de la conférence internationale sur la population;NA;programma d'azione della conferenza internazionale sulla popolazione;NA
c85;prostitution;NA;Prostitution;NA;prostitution;NA;prostituzione;NA
c86;rape culture;NA;Vergewaltigungskultur;NA;culture du viol;NA;cultura dello stupro;NA
c87;reproductive autonomy;NA;Reproduktive Autonomie;NA;autonomie reproductive;NA;autonomia riproduttiva;NA
c88;reproductive health;NA;Reproduktive Gesundheit;NA;santé reproductive;NA;salute riproduttiva;NA
c89;reproductive healthcare;NA;Reproduktive Gesundheitsfürsorge;NA;santé reproductive;NA;salute riproduttiva;NA
c90;reproductive rights;NA;Reproduktive Rechte;NA;droits reproductifs;NA;diritti riproduttivi;NA
c91;safe sex;NA;Safer Sex;NA;sexe protégé;NA;sesso sicuro;NA
c92;servile marriage;NA;Servilehe;NA;mariage servile;NA;matrimonio servile;NA
c93;sex change;NA;Geschlechtsumwandlung;NA;changement de sexe;NA;cambio di sesso;NA
c94;sex discrimination;NA;Geschlechterdiskriminierung;NA;discrimination sexuelle;NA;discriminazione sessuale;NA
c95;sex education;NA;Sexualerziehung;NA;éducation sexuelle;NA;educazione sessuale;NA
c96;sex in advertising;NA;Sex in der Werbung;NA;sexe dans la publicité;NA;sesso nella pubblicità;NA
