id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;environmental pollution;;;Umweltverschmutzung;;;pollution environnementale;;;inquinamento ambientale;;
c2;hazardous waste;;;gefährlicher Abfall;;;déchets dangereux;;;rifiuti pericolosi;;
c3;hazardous chemical;;;gefährliche Chemikalie;;;produit chimique dangereux;;;prodotto chimico pericoloso;;
c4;toxic chemical;;;giftige Chemikalie;;;produit chimique toxique;;;prodotto chimico tossico;;
c5;toxic chemicals;;;giftige Chemikalien;;;produits chimiques toxiques;;;sostanze chimiche tossiche;;
c6;chemical pollution;;;chemische Verschmutzung;;;pollution chimique;;;inquinamento chimico;;
c7;ozone depletion;;;Zerstörung der Ozonschicht;;;appauvrissement de la couche d'ozone;;;impoverimento dell'ozono;;
c8;pesticide pollution;;;Verschmutzung durch Pestizide;;;pollution par les pesticides;;;inquinamento da pesticidi;;
c9;pesticide stress;;;Pestizidbelastung;;;stress dû aux pesticides;;;stress da pesticidi;;
c10;pesticide reduction;;;Reduzierung von Pestiziden;;;réduction des pesticides;;;riduzione dei pesticidi;;
c11;life cycle assessment;;;Ökobilanz;;;évaluation du cycle de vie;;;valutazione del ciclo di vita;;
c12;lifecycle analysis;;;LebensKreislauf-Analyse;;;analyse du cycle de vie;;;analisi del ciclo di vita;;
c13;lowcarbon economy;;;kohlenstoffarme Wirtschaft;;;économie à faible émission de carbone;;;economia a basso contenuto di carbonio;;
c14;environmental footprint;;;ökologischer Fußabdruck;;;empreinte environnementale;;;impronta ambientale;;
c15;material footprint;;;materieller Fußabdruck;;;empreinte matérielle;;;impronta dei materiali;;
c16;harvest efficiency;;;Ernteeffizienz;;;efficacité de la récolte;;;efficienza del raccolto;;
c17;solid waste;;;Feststoffabfall;;;déchets solides;;;rifiuti solidi;;
c18;waste generation;;;Abfallerzeugung;;;production de déchets;;;produzione di rifiuti;;
c19;corporate social responsibility;;;Soziale Verantwortung der Unternehmen;;;responsabilité sociale des entreprises;;;responsabilità sociale d'impresa;;
c20;corporate sustainability;;;unternehmerische Nachhaltigkeit;;;durabilité des entreprises;;;sostenibilità aziendale;;
c21;consumer behavior;;;Verbraucherverhaltenr;;;comportement du consommateur;;;comportamento dei consumatori;;
c22;waste recycling;;;Abfallrecycling;;;recyclage des déchets;;;riciclo dei rifiuti;;
c23;resource recycling;;;Ressourcenrecycling;;;recyclage des ressources;;;riciclo delle risorse;;
c24;resource reuse;;;Wiederverwendung von Ressourcen;;;réutilisation des ressources;;;riutilizzo delle risorse;;
c25;biobased economy;;;biobasierte Wirtschaft;;;économie biosourcée;;;economia biobased;;
c26;zero waste;;;Null Abfall;;;zéro déchet;;;rifiuti zero;;
c27;sustainability label;;;Nachhaltigkeitskennzeichnung;;;label de durabilité;;;etichetta di sostenibilità;;
c28;sustainability labelling;;;Nachhaltigkeitskennzeichnung;;;étiquetage de durabilité;;;etichettatura di sostenibilità;;
c29;global resource extraction;;;Globale Ressourcengewinnung;;;extraction des ressources mondiales;;;estrazione globale delle risorse;;
c30;material flow accounting;;;Materialflussrechnung;;;comptabilité des flux de matières;;;contabilità dei flussi di materiale;;
c31;societal metabolism;;;gesellschaftlicher Stoffwechsel;;;métabolisme sociétal;;;metabolismo sociale;;
c32;food spill;;;Lebensmittelverschwendung;;;déversement de nourriture;;;fuoriuscita di cibo;;
c33;resource spill;;;Ressourcenverschwendung;;;déversement de ressources;;;fuoriuscita di risorse;;
c34;resource efficiency;;;Ressourceneffizienz;;;efficacité des ressources;;;efficienza delle risorse;;
c35;sustainable food consumption;;;Nachhaltiger Lebensmittelkonsum;;;consommation alimentaire durable;;;consumo alimentare sostenibile;;
c36;green consumption;;;grüner Konsum;;;consommation verte;;;consumo verde;;
c37;sustainable supply chain;;;Nachhaltige Lieferkette;;;chaîne d'approvisionnement durable;;;filiera sostenibile;;
c38;circular economy;;;Kreislaufwirtschaft;;;économie circulaire;;;economia circolare;;
c39;cradle to cradle;;;Von der Wiege bis zur Wiege;;;du berceau au berceau;;;dalla culla alla culla;;
c40;sustainable procurement;;;Nachhaltige Beschaffung;;;approvisionnement durable;;;acquisti sostenibili;;
c41;sustainable tourism;;;Nachhaltiger Tourismus;;;tourisme durable;;;turismo sostenibile;;
c42;fossil-fuel subsidies;;;Subventionen für fossile Brennstoffe;;;subventions aux combustibles fossiles;;;sussidi ai combustibili fossili;;
c43;fossil-fuel expenditure;;;Ausgaben für fossile Brennstoffe;;;dépenses en combustibles fossiles;;;spesa per i combustibili fossili;;
c44;sustainability label;;;Nachhaltigkeitslabel;;;label de durabilité;;;marchio di sostenibilità;;
c45;consumption;resource use;;Verbrauch;Ressourcennutzung;;consommation;utilisation des ressources;;consumo;uso delle risorse;
c46;consumption;spill;;Verbrauch;Auslaufen;;consommation;déversement;;consumo;fuoriuscita;
c47;production;resource use;;Produktion;Ressourcennutzung;;production;utilisation des ressources;;produzione;utilizzo delle risorse;
c48;production;spill;;Produktion;Auslaufen;;production;déversement;;produzione;fuoriuscita;
c49;wireless  network;;;drahtloses  Netzwerk;;;réseau sans fil;;;rete wireless;;
c50;wireless;;;drahtlos;;;sans fil;;;senza fili;;
c51;disease;;;Krankheit;;;maladie;;;malattia;;
c52;astrophysics;;;Astrophysik;;;astrophysique;;;astrofisica;;
