id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;species richness;;;Artenreichtum;;;richesse des espèces;;;ricchezza di specie;;
c2;bioeconom;;;BioÖkonomie;;;bioéconomie;;;bioeconomia;;
c3;biological production;;;biologische Produktion;;;production biologique;;;produzione biologica;;
c4;deforest;;;entwalden;;;déforestation;;;deforestazione;;
c5;desertif;;;Wüstenf;;;désertification;;;desertificazione;;
c6;earth system;;;Erdsystem;;;système terrestre;;;sistema terra;;
c7;ecological resilience;;;ökologische Widerstandsfähigkeit;;;résilience écologique;;;resilienza ecologica;;
c8;ecosystem;;;Ökosystem;;;écosystème;;;ecosistema;;
c9;trophic cascade;;;trophische Kaskade;;;cascade trophique;;;cascata trofica;;
c10;trophic level;;;trophische Ebene;;;niveau trophique;;;livello trofico;;
c11;trophic web;;;trophisches Netz;;;réseau trophique;;;rete trofica;;
c12;threatened species;;;bedrohte Arten;;;espèce men men menacée;;;specie minacciate;;
c13;endangered species;;;gefährdete Arten;;;espèces en voie de disparition;;;specie in pericolo;;
c14;extinction risk;;;Aussterberisiko;;;risque d'extinction;;;rischio di estinzione;;
c15;poach;;;Wildern;;;braconnage;;;bracconaggio;;
c16;wildlife product;;;Wildtierprodukt;;;produit de la faune sauvage;;;prodotto della fauna selvatica;;
c17;wildlife traffic;;;Wildtierverkehr;;;trafic d'animaux sauvages;;;traffico di fauna selvatica;;
c18;wildlife market;;;Wildtiermarkt;;;marché des espèces sauvages;;;mercato della fauna selvatica;;
c19;wildlife trafficking;;;illegaler Handel mit Wildtieren;;;trafic d'espèces sauvages;;;traffico di fauna selvatica;;
c20;invasive species;;;invasive Arten;;;espèce envahissante;;;specie invasive;;
c21;alien species;;;gebietsfremde Arten;;;espèces exotiques;;;specie aliene;;
c22;land use;;;Landnutzung;;;utilisation des sols;;;uso del suolo;;
c23;land degradation;;;Bodendegradation;;;dégradation des sols;;;degrado del territorio;;
c24;soil degradation;;;Verschlechterung der Bodenqualität;;;dégradation des sols;;;degrado del suolo;;
c25;LULUCF;;;LULUCF;;;LULUCF;;;LULUCF;;
c26;forest;;;Wald;;;forêt;;;foresta;;
c27;land conservation;;;Bodenschutz;;;conservation des terres;;;conservazione del territorio;;
c28;wetland;;;Feuchtgebiet;;;zones humides;;;zone umide;;
c29;mountain;;;Gebirge;;;montagnes;;;montagna;;
c30;dryland;;;Trockengebiet;;;zones sèches;;;terreni aridi;;
c31;mountainous cover;;;Gebirgsbedeckung;;;couverture montagneuse;;;copertura montana;;
c32;protected area;;;Schutzgebiet;;;zone protégée;;;area protetta;;
c33;REDD;;;REDD;;;REDD;;;REDD;;
c34;forest management;;;Waldbewirtschaftung;;;gestion forestière;;;gestione forestale;;
c35;silviculture;;;Waldbau;;;sylviculture;;;selvicoltura;;
c36;timber harvest;;;Holzernte;;;récolte du bois;;;raccolta di legname;;
c37;illegal logging;;;illegaler Holzeinschlag;;;exploitation forestière illégale;;;disboscamento illegale;;
c38;slash-and-burn;;;Brandrodung;;;culture sur brûlis;;;incuria e bruciatura;;
c39;fire-fallow cultivation;;;Brandrodung;;;culture sur brûlis;;;coltivazione a fuoco;;
c40;tree cover;;;Baumbewuchs;;;couverture végétale;;;copertura arborea;;
c41;soil restoration;;;Bodensanierung;;;restauration des sols;;;ripristino del suolo;;
c42;land restoration;;;Bodensanierung;;;restauration des terres;;;ripristino del terreno;;
c43;drought;;;Dürre;;;sécheresse;;;siccità;;
c44;sustainable land management;;;nachhaltige Landbewirtschaftung;;;gestion durable des terres;;;gestione sostenibile del territorio;;
c45;mountain vegetation;;;Bergvegetation;;;végétation de montagne;;;vegetazione di montagna;;
c46;habitat restoration;;;Wiederherstellung von Lebensräumen;;;restauration de l'habitat;;;ripristino dell'habitat;;
c47;Red List species;;;Arten der Roten Liste;;;Espèces de la Liste Rouge;;;Specie della Lista Rossa;;
c48;Red List Index;;;Index der Roten Liste;;;Indice Liste Rouge;;;Indice della Lista Rossa;;
c49;extinction wave;;;Aussterbewelle;;;vague d'extinction;;;ondata di estinzione;;
c50;habitat fragmentation;;;Lebensraumfragmentierung;;;fragmentation de l'habitat;;;frammentazione dell'habitat;;
c51;habitat loss;;;Lebensraumverlust;;;perte d'habitat;;;perdita di habitat;;
c52;Nagoya Protocol on Access to Genetic Resources;;;Nagoya-Protokoll über den Zugang zu genetischen Ressourcen;;;Protocole de Nagoya sur l'accès aux ressources génétiques;;;Protocollo di Nagoya sull'accesso alle risorse genetiche;;
c53;genetic resources;;;genetische Ressourcen;;;ressources génétiques;;;risorse genetiche;;
c54;biological invasion;;;biologische Invasion;;;invasion biologique;;;invasione biologica;;
c55;biodiversity-inclusive;;;Einbeziehung der biologischen Vielfalt;;;inclusion de la biodiversité;;;biodiversità inclusiva;;
c56;forest stewardship council;;;Forest Stewardship Council;;;conseil de bonne gérance de la forêt;;;consiglio per la gestione forestale;;
c57;rainforest alliance;;;Rainforest Alliance;;;rainforest alliance;;;alleanza per la foresta pluviale;;
c58;forest certification;;;Waldzertifizierung;;;certification forestière;;;certificazione forestale;;
c59;forest auditing;;;Wald-Auditierung;;;audit forestier;;;audit forestale;;
c60;ecotourism;;;Ökotourismus;;;écotourisme;;;ecoturismo;;
c61;communitybased conservation;;;Gemeindebasierter Naturschutz;;;conservation à base communautaire;;;conservazione basata sulla comunità;;
c62;humanwildlife conflict;;;MenschWildtier-Konflikt;;;conflit homme-faune;;;conflitto uomoanimale;;
