c1;gender inequality;NA;Ungleichheit der Geschlechter;NA;inégalité de genre;NA;disuguaglianza di genere;NA
c2;gender equality;NA;Gleichstellung der Geschlechter;NA;égalité des sexes;NA;parità di genere;NA
c3;employment equity;NA;Beschäftigungsgerechtigkeit;NA;équité en matière d'emploi;NA;equità nell'occupazione;NA
c4;gender wage gap;NA;Lohngefälle zwischen den Geschlechtern;NA;écart salarial entre les sexes;NA;divario salariale di genere;NA
c5;female labo*r force participation;NA;Beteiligung von Frauen an der Erwerbsbevölkerung;NA;participation des femmes au marché du travail;NA;partecipazione femminile alla forza lavoro;NA
c6;women labo*r force participation;NA;Beteiligung von Frauen an der Erwerbsbevölkerung;NA;participation des femmes au marché du travail;NA;partecipazione delle donne alla forza lavoro;NA
c7;female *employment;NA;Frauen*Beschäftigung;NA;emploi des femmes;NA;occupazione femminile;NA
c8;women* *employment;NA;Frauen* *Beschäftigung;NA;emploi des femmes;NA;donne *occupazione;NA
c9;access;family planning services;Zugang;Familienplanungsdienste;accès;services de planification familiale;accesso;servizi di pianificazione familiare
c31;access;reproductive healthcare;Zugang;Reproduktive Gesundheitsfürsorge;accès;Soins de santé reproductive;accesso;assistenza sanitaria riproduttiva
c10;forced marriage*;NA;Zwangsheirat*;NA;mariage forcé;NA;matrimonio forzato*;NA
c11;child marriage*;NA;Kinderheirat*;NA;mariage d'enfants*;NA;matrimonio infantile*;NA
c12;occupational segregation;NA;Berufliche Segregation;NA;ségrégation professionnelle;NA;segregazione occupazionale;NA
c13;women's empowerment;NA;Empowerment von Frauen;NA;autonomisation des femmes;NA;emancipazione femminile;NA
c14;girls' empowerment;NA;Empowerment von Mädchen;NA;autonomisation des filles;NA;emancipazione delle ragazze;NA
c15;female empowerment;NA;Empowerment von Frauen;NA;autonomisation des femmes;NA;emancipazione femminile;NA
c16;female genital mutilation;NA;weibliche Genitalverstümmelung;NA;mutilation génitale féminine;NA;mutilazione genitale femminile;NA
c17;female genital cutting;NA;weibliche Genitalbeschneidung;NA;mutilation génitale féminine;NA;taglio genitale femminile;NA
c18;domestic violence;NA;Häusliche Gewalt;NA;violence domestique;NA;violenza domestica;NA
c19;women;NA;Frauen;NA;femmes;NA;donne;NA
c20;violence;NA;Gewalt;NA;violence;NA;violenza;NA
c21;girl*;NA;Mädchen*;NA;fille;NA;ragazza*;NA
c22;violence;NA;Gewalt;NA;violence;NA;violenza;NA
c23;sexual violence;NA;sexuelle Gewalt;NA;violence sexuelle;NA;violenza sessuale;NA
c24;unpaid work;gender inequality;Unbezahlte Arbeit;Geschlechterungleichheit;travail non rémunéré;inégalité entre les sexes;lavoro non retribuito;disuguaglianza di genere
c25;unpaid care work;gender inequality;Unbezahlte Betreuungsarbeit;Geschlechterungleichheit;travail de soins non rémunéré;inégalité entre les sexes;lavoro di cura non retribuito;disuguaglianza di genere
c26;women's political participation;female political participation;Politische Beteiligung von Frauen;Politische Partizipation von Frauen;participation politique des femmes;participation politique des femmes;partecipazione politica delle donne;partecipazione politica femminile
c27;female manager*;NA;Manager*innen;NA;femmes dirigeantes;NA;donne manager*;NA
c28;women in leadership;NA;Frauen in Führungspositionen;NA;femmes dans le leadership;NA;donne nella leadership;NA
c29;female leadership;NA;weibliche Führung;NA;leadership féminin;NA;leadership femminile;NA
c30;intra-household allocation;NA;haushaltsinterne Aufteilung;NA;allocation intra-ménage;NA;ripartizione intra-familiare;NA
c32;hono*r killing*;NA;Ehrenmord*;NA;meurtre hono*r*;NA;uccisione di hono*r;NA
c33;anti*women;NA;Anti*Frauen;NA;anti*femmes;NA;anti-donna;NA
c34;feminism;NA;Feminismus;NA;féminisme;NA;femminismo;NA
